NUM.,TITULO,ARTISTA,GENERO
4552,ALIENTO CON ALIENTO,GUSTAVO LARA,BALADA
4634,PRINCESA,GUSTAVO LARA,BALADA
4908,BALADA BOA,GUSTAVO LIMA,POP
533,LOS PROBLEMAS DE MI CORAZON,GUSTAVO PACHECO,BALADA
488,SOLO USTED,GUSTAVO PACHECO,BALADA
8342,EL AGUARDIENTOSKY,GUSTAVO QUINTERO,CUMBIA
8351,ESE MUERTO NO LO CARGO YO,GUSTAVO QUINTERO,CUMBIA
1889,A MI LINDO ECUADOR,GUSTAVO VELASQUEZ,CUMBIA
4549,VIOLENCIA,GUSTAVO VELASQUEZ,CUMBIA
5057,DE DONDE SACO ESO,HA ASH,POP
7333,DOS COPAS DE MAS,HA ASH,COUNTRY
2323,EN DONDE ESTES,HA ASH,BALADA
7137,ESO NO VA A SUCEDER,HA ASH,POP
6208,EX DE VERDAD,HA ASH,BALADA
9009,EX DE VERDAD,HA ASH,BALADA
4820,IMPERMEABLE,HA ASH,POP
6307,LO APRENDI DE TI,HA ASH,BALADA
8154,LO QUE UN HOMBRE DEBERIA SABER,HA ASH,POP
6311,LO QUE YO SE DE TI,HA ASH,BALADA
8272,NO PASA NADA,HA ASH,BALADA
4077,NO TE QUIERO NADA,HA ASH,BALADA
5931,ODIO AMARTE,HA ASH,POP
6036,PERDON PERDON,HA ASH,BALADA
4935,QUE HAGO YO,HA ASH,POP
8179,QUE HARE CON ESTE AMOR,HA ASH,BALADA
7878,SE QUE TE VAS,HA ASH,POP
8185,SUPONGO QUE LO SABES,HA ASH,BALADA
4841,TE DEJO EN LIBERTAD,HA ASH,BALADA
8294,TENIAN RAZON,HA ASH,BALADA
5994,TODO NO FUE SUFICIENTE,HA ASH,BALADA
5995,TU MIRADA EN MI,HA ASH,BALADA
7201,30 DE FEBRERO,HA ASH FEAT ABRAHAM MATEO,BALADA
7202,100 AÑOS,HA ASH FEAT PRINCE ROYCE,BACHATA
8290,TE ACUERDAS,HA ASH FEAT REIK,BALADA
4679,MARIA TERESA Y DANILO,HANSEL & RAUL,SALSA
4977,ELLA,HANSEL & RAUL & LUIS ENRIQUE,SALSA
4612,ES TU AMOR,HANY KAUAM,BALADA
6988,WITHOUT YOU,HARRY NILSSON,SOFT ROCK
8208,AS IT WAS,HARRY STYLES,POP INGLES
4855,ALONE,HEART,B. INGLES
8245,I LOVED HER FIRST,HEARTLAND,BALADA INGLES
7412,AMORCITO ENFERMITO,HECTOR ACOSTA,BACHATA
5303,ME DUELE LA CABEZA,HECTOR ACOSTA,BACHATA
5205,NO ME LLOREN,HECTOR ACOSTA,BACHATA
7865,O TE VAS TU O ME VOY YO,HECTOR ACOSTA EL TORITO,BACHATA
6053,AMOR DE UN TONTO,HECTOR COOX,ROCKOLERA
6148,BUEN AMANTE,HECTOR COOX,ROCKOLERA
6162,CERVECITA CERVECITA,HECTOR COOX,ROCKOLERA
6062,CORAZON INFIEL,HECTOR COOX,ROCKOLERA
6353,NADA TE RECLAMO,HECTOR COOX,ROCKOLERA
6380,PERDIDO Y BORRACHO,HECTOR COOX,ROCKOLERA
2608,CLAVEL NEGRO,HECTOR JARAMILLO,PASILLO
776,EL PAÑUELO BLANCO,HECTOR JARAMILLO,PASILLO
817,PLAYITA MIA,HECTOR JARAMILLO,PASACALLE
780,VIDA MIA CORAZON,HECTOR JARAMILLO,ALBAZO
3504,AGUANILE,HECTOR LAVOE,SALSA
5603,AIRES DE NAVIDAD,HECTOR LAVOE,SALSA
4653,AUSENCIA,HECTOR LAVOE,SALSA
2710,CHE CHE COLE,HECTOR LAVOE,SALSA
5376,DE QUE TAMAÑO ES TU AMOR,HECTOR LAVOE,SALSA
2762,DE TI DEPENDE,HECTOR LAVOE,SALSA
2612,DEJALA QUE SIGA,HECTOR LAVOE,SALSA
1457,EL CANTANTE,HECTOR LAVOE,SALSA
1152,EL DIA DE MI SUERTE,HECTOR LAVOE,SALSA
4976,EL RETRATO DE MAMA,HECTOR LAVOE,BOLERO
2814,EL TODOPODEROSO,HECTOR LAVOE,SALSA
2455,LA MURGA,HECTOR LAVOE,SALSA
5201,MI GENTE,HECTOR LAVOE,SALSA
1342,MOMPOSINA,HECTOR LAVOE,GUARACHA
2476,PERIODICO DE AYER,HECTOR LAVOE,SALSA
5475,TODO TIENE SU FINAL,HECTOR LAVOE,SALSA
2697,TRISTE Y VACIA,HECTOR LAVOE,SALSA
4942,TE PROPONGO,HECTOR REY,SALSA
1116,AMOR DE COLEGIO,HECTOR Y TITO,REGGAETON
1115,BAILA MORENA,HECTOR Y TITO,REGGAETON
1770,NO LE TEMAS A EL,HECTOR Y TITO,REGGAETON
1800,TRAVESURA,HECTOR Y TITO,REGGAETON
1113,GATA FIERA,HECTOR Y TREBOL CAN,REGGAETON
5969,EN UN RINCON DEL ALMA,HELENITA VARGAS,BOLERO
7453,MI HUELLA,HELENITA VARGAS,VALS
6045,UN VIEJO AMOR,HELENITA VARGAS,BOLERO
3343,USTED ES UN MAL HOMBRE,HELENITA VARGAS,RANCHERA
1701,LA CHICA DE LA BOUTIQUE,HELENO,BALADA
4734,QUE PASA ENTRE LOS DOS,HELENO,BALADA
975,SON SOLO PALABRITAS,HELENO,BALADA
3354,BELLA,HENRY ENDARA,BALADA
4854,AHORA ME DA PENA,HENRY FIOL,SALSA
5727,MALA SUERTE,HENRY FIOL,SALSA
3973,LOS AMANTES EN ENERO,HENRY NELSON,BALADA
742,TE DARE UNA MAÑANA,HENRY NELSON,BALADA
3744,TE EXTRAÑARE,HENRY NELSON,BALADA
7971,SABRAS,HERENCIA TIMBIQUI,POP
6727,LA CUCHILLA,HERMANITAS CALLE,RANCHERA
6297,LAGRIMAS DE CRISTAL,HERMANOS CARRION,BALADA
8315,AQUELLOS OJOS,HERMANOS MIÑO NARANJO,PASILLO
5559,CARIÑO BONITO,HERMANOS NUÑEZ,VALS
5176,EN EL MISMO TREN,HERNALDO ZUÑIGA,BALADA
5160,AVALANCHA,HEROES DEL SILENCIO,ROCK
5608,CON NOMBRE DE GUERRA,HEROES DEL SILENCIO,ROCK
5613,DESHACER EL MUNDO,HEROES DEL SILENCIO,ROCK
1676,ENTRE DOS TIERRAS,HEROES DEL SILENCIO,ROCK LATINO
5122,HECHIZO,HEROES DEL SILENCIO,ROCK
1936,HEROE DE LEYENDA,HEROES DEL SILENCIO,ROCK LATINO
5625,LA CARTA,HEROES DEL SILENCIO,ROCK
